model,roc_auc,pr_auc,train_time,pred_time,status,dataset,n_samples,n_features,outlier_rate
IF,0.7833478639930253,0.7922835160950313,0.002115488052368164,0.0007479190826416016,success,arrhythmia,452,279,0.4579646017699115
IF-U,0.7190496948561463,0.6683563570143317,0.0014014244079589844,0.00039696693420410156,success,arrhythmia,452,279,0.4579646017699115
EIF-o,0.7935919790758501,0.795583902239329,0.0024607181549072266,0.0010228157043457031,success,arrhythmia,452,279,0.4579646017699115
EIF-t,0.738666085440279,0.7127823492443053,0.003304719924926758,0.0009725093841552734,success,arrhythmia,452,279,0.4579646017699115
SCiF,0.7356146469049694,0.6577858580971664,0.027660369873046875,0.0010724067687988281,success,arrhythmia,452,279,0.4579646017699115
SCiF-u,0.7210113339145597,0.6396156905059487,0.031152009963989258,0.0012221336364746094,success,arrhythmia,452,279,0.4579646017699115
FCF,0.7574106364428945,0.7050501853918941,0.008924245834350586,0.004575252532958984,success,arrhythmia,452,279,0.4579646017699115
DEF,0.7768090671316478,0.7511151787464636,0.0061109066009521484,0.0021436214447021484,success,arrhythmia,452,279,0.4579646017699115
LOF,0.804054054054054,0.8117155539013181,0.06675457954406738,0.040822505950927734,success,arrhythmia,452,279,0.4579646017699115
OCSVM-rbf,0.560483870967742,0.4898670050601387,0.028273582458496094,0.03441786766052246,success,arrhythmia,452,279,0.4579646017699115
OCSVM-linear,0.4840889276373147,0.4713592382343675,0.007288217544555664,0.0023963451385498047,success,arrhythmia,452,279,0.4579646017699115
IF,0.6877366255144032,0.5386898529554018,0.0021343231201171875,0.001806497573852539,success,pima,768,8,0.3489583333333333
IF-U,0.7093827160493827,0.5736115826369644,0.003512859344482422,0.0015904903411865234,success,pima,768,8,0.3489583333333333
EIF-o,0.680082304526749,0.5153180315166179,0.0071489810943603516,0.0028014183044433594,success,pima,768,8,0.3489583333333333
EIF-t,0.7327572016460906,0.5989444369376341,0.008760690689086914,0.005148887634277344,success,pima,768,8,0.3489583333333333
SCiF,0.6057201646090535,0.43012582005572136,0.07066941261291504,0.0020613670349121094,success,pima,768,8,0.3489583333333333
SCiF-u,0.6868312757201646,0.4852390794518378,0.052396297454833984,0.002460002899169922,success,pima,768,8,0.3489583333333333
FCF,0.7362139917695473,0.620483973467381,0.011415958404541016,0.007283926010131836,success,pima,768,8,0.3489583333333333
DEF,0.7453497942386831,0.6274381572907921,0.006851911544799805,0.002992391586303711,success,pima,768,8,0.3489583333333333
LOF,0.6273251028806583,0.47371585806517014,0.03579378128051758,0.028782367706298828,success,pima,768,8,0.3489583333333333
OCSVM-rbf,0.6181481481481481,0.4421543091411215,0.012479066848754883,0.006749391555786133,success,pima,768,8,0.3489583333333333
OCSVM-linear,0.24353909465020573,0.2434767300910144,0.002294778823852539,0.0009171962738037109,success,pima,768,8,0.3489583333333333
IF,0.8443067415138097,0.7872838530644062,0.0016245841979980469,0.002508401870727539,success,spambase,4601,57,0.39404477287546186
IF-U,0.8063604698151662,0.7170142517567968,0.0024878978729248047,0.003956317901611328,success,spambase,4601,57,0.39404477287546186
EIF-o,0.8671814603977791,0.8207449317976725,0.004591941833496094,0.006800413131713867,success,spambase,4601,57,0.39404477287546186
EIF-t,0.8553032099936749,0.8121477325148589,0.00524592399597168,0.007161140441894531,success,spambase,4601,57,0.39404477287546186
SCiF,0.8411255183076815,0.7854312979913902,0.029230833053588867,0.003965854644775391,success,spambase,4601,57,0.39404477287546186
SCiF-u,0.8503144985592805,0.8342608854461775,0.02816033363342285,0.003901243209838867,success,spambase,4601,57,0.39404477287546186
FCF,0.8453872812565887,0.7916225524888295,0.006806612014770508,0.0160064697265625,success,spambase,4601,57,0.39404477287546186
DEF,0.8617699768079274,0.8143166289661846,0.004392862319946289,0.006443977355957031,success,spambase,4601,57,0.39404477287546186
LOF,0.6103127855084687,0.4676255596110471,0.0427553653717041,0.04531526565551758,success,spambase,4601,57,0.39404477287546186
OCSVM-rbf,0.7939540287441141,0.7168848084610743,0.22650408744812012,0.12521624565124512,success,spambase,4601,57,0.39404477287546186
OCSVM-linear,0.24916982922201136,0.27152167580915454,0.02752089500427246,0.008613348007202148,success,spambase,4601,57,0.39404477287546186
