dataset,model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,train_time
arrhythmia,IF,0.8409482758620689,0.01662027828937199,0.6011672257410332,0.02524272832808184,0.0019078254699707031
arrhythmia,IF-U,0.8248275862068966,0.017444067231284083,0.5196809222450017,0.08120160603490192,0.0049380302429199215
arrhythmia,EIF-o,0.8324137931034483,0.02519454624562998,0.6111265277555837,0.04203340006920912,0.009941530227661134
arrhythmia,EIF-t,0.8388793103448275,0.016710356924298668,0.5787360448020528,0.08808790550737779,0.014830589294433594
arrhythmia,SCiF,0.7502155172413794,0.022376876096291333,0.4101218629027684,0.06561011937338028,0.11756300926208496
arrhythmia,SCiF-u,0.7722413793103448,0.03636827745758477,0.44166281885327174,0.09462358241691998,0.11889123916625977
arrhythmia,FCF,0.840948275862069,0.009900665971666773,0.5647405556454677,0.08285784196428704,0.02935194969177246
arrhythmia,LOF,0.829655172413793,0.007527199983773467,0.5140287352325754,0.05610206506582256,0.007462978363037109
arrhythmia,OCSVM-rbf,0.8150862068965518,0.014381315497339129,0.537924969330011,0.053869474076204384,0.002181863784790039
arrhythmia,OCSVM-linear,0.5258620689655172,0.052048551604611776,0.2790614034826244,0.085499683697186,0.10920000076293945
pima,IF,0.713201646090535,0.027354914572168848,0.5587111510981175,0.054494363507031345,0.0021886348724365233
pima,IF-U,0.7255144032921811,0.022611976063539378,0.5852381579047028,0.0379469243533712,0.00589599609375
pima,EIF-o,0.7209547325102881,0.032617797960454914,0.5584335483797253,0.051540465997954386,0.013544511795043946
pima,EIF-t,0.7348641975308643,0.021946936879865073,0.5929842850285381,0.056564735089211914,0.01829228401184082
pima,SCiF,0.6086831275720164,0.026537639381020415,0.4331858666087179,0.03374709329615498,0.11750407218933105
pima,SCiF-u,0.6973662551440329,0.031625164995352166,0.5040662068880842,0.04646157984079483,0.10623464584350586
pima,FCF,0.7361316872427983,0.022802840104731378,0.5985943622860981,0.050033053420696486,0.03669300079345703
