dataset,model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,train_time
arrhythmia,IF,0.8053854608258753,0.001572164609515644,0.4409486625122331,0.0060870004518338424,0.002916407585144043
arrhythmia,IF-u,0.8081194065002355,0.0005320179594358036,0.4755463721192239,0.0030865097504312634,0.024207401275634765
arrhythmia,EIF,0.7816847228764328,0.0007560182881145387,0.4570416153293834,0.003213615232621513,0.013124036788940429
arrhythmia,SCiF,0.7003807505102843,0.0006882543191805112,0.32764528989024766,0.0015059583922228208,0.11925456523895264
arrhythmia,SCiF-u,0.7387914115245722,0.00038753400118666674,0.35397710429242585,0.0019504097000440502,1.2022347450256348
arrhythmia,FCF,0.7893036583451092,0.0003608467603872903,0.4481971846559484,0.005138184616722711,0.06988048553466797
arrhythmia,LOF,0.7596953995917727,0.0,0.32766825385385234,5.551115123125783e-17,0.008597373962402344
arrhythmia,OCSVM-rbf,0.7529831998743914,1.1102230246251565e-16,0.3283539726450439,0.0,0.006182646751403809
arrhythmia,OCSVM-linear,0.5286151672162036,1.1102230246251565e-16,0.17978387525967995,2.7755575615628914e-17,0.14919848442077638
pima,IF,0.6949634328358208,0.0021215131653934825,0.5126758102383808,0.0017733861257948188,0.0044927835464477536
pima,IF-u,0.6734264925373135,0.000793097958513151,0.5000186530561751,0.000913685318344706,0.026784086227416994
pima,EIF,0.6852082089552238,0.0010966567086988677,0.5049524073986423,0.0013566385812179,0.019794797897338866
pima,SCiF,0.6149932835820897,0.00045757832533210673,0.42498830299513746,0.0003790416766714149,0.12350716590881347
pima,SCiF-u,0.658005223880597,0.0001798817091078268,0.4577890897603255,0.00028308212470733526,0.8800639629364013
pima,FCF,0.7356201492537314,0.0005304699976020707,0.5596494484730771,0.0007281248961926916,0.07886962890625
pima,LOF,0.6013880597014925,0.0,0.4180239303515835,5.551115123125783e-17,0.02821178436279297
pima,OCSVM-rbf,0.49841044776119403,5.551115123125783e-17,0.39035135868403176,0.0,0.003035616874694824
